36,0.583,0.0,0.0,0.361,0.056,0.0,0.361,0.39,0.546;1,0,0
28,0.821,0.0,0.036,0.036,0.071,0.036,0.071,0.819,0.074;0,1,0
25,0.72,0.04,0.0,0.04,0.12,0.08,0.08,0.688,0.109;0,0,1
34,0.706,0.0,0.206,0.059,0.0,0.029,0.265,0.411,0.546;0,0,1
59,0.559,0.0,0.068,0.22,0.153,0.0,0.288,0.412,0.417;0,0,1
26,0.346,0.038,0.038,0.577,0.0,0.0,0.654,0.083,0.917;1,0,0
62,0.5,0.048,0.0,0.242,0.161,0.048,0.29,0.277,0.459;0,0,1
66,0.712,0.0,0.03,0.091,0.167,0.0,0.121,0.442,0.299;0,0,1
36,0.417,0.028,0.167,0.361,0.028,0.0,0.556,0.11,0.851;1,0,0
57,0.386,0.246,0.018,0.316,0.035,0.0,0.579,0.114,0.84;1,0,0
32,0.094,0.0,0.0,0.062,0.031,0.812,0.062,0.083,0.067;0,0,1
44,0.636,0.068,0.023,0.205,0.068,0.0,0.295,0.343,0.561;0,0,1
29,0.138,0.034,0.724,0.103,0.0,0.0,0.862,0.041,0.959;1,0,0
22,0.773,0.0,0.0,0.045,0.182,0.0,0.045,0.753,0.064;0,0,1
25,0.8,0.0,0.04,0.16,0.0,0.0,0.2,0.696,0.304;0,0,1
25,0.84,0.04,0.0,0.0,0.12,0.0,0.04,0.756,0.105;0,0,1
32,0.312,0.0,0.0,0.594,0.094,0.0,0.594,0.168,0.728;0,0,1
56,0.857,0.0,0.0,0.036,0.107,0.0,0.036,0.736,0.121;0,0,1
26,0.654,0.0,0.0,0.231,0.115,0.0,0.231,0.394,0.447;0,0,1
23,0.739,0.043,0.0,0.174,0.043,0.0,0.217,0.352,0.567;1,0,0
33,0.273,0.485,0.03,0.212,0.0,0.0,0.727,0.061,0.939;1,0,0
54,0.352,0.037,0.019,0.185,0.074,0.333,0.241,0.162,0.34;0,0,1
60,0.817,0.0,0.017,0.067,0.1,0.0,0.083,0.814,0.086;0,0,1
30,0.5,0.033,0.067,0.4,0.0,0.0,0.5,0.111,0.889;1,0,0
65,0.338,0.446,0.015,0.154,0.046,0.0,0.615,0.066,0.872;1,0,0
25,0.28,0.16,0.0,0.56,0.0,0.0,0.72,0.182,0.818;1,0,0
30,0.833,0.0,0.067,0.067,0.033,0.0,0.133,0.761,0.204;0,1,0
20,0.0,0.0,0.55,0.05,0.05,0.35,0.6,0.0,0.6;0,0,1
30,0.8,0.0,0.0,0.067,0.133,0.0,0.067,0.574,0.211;0,0,1
38,0.184,0.711,0.0,0.079,0.026,0.0,0.789,0.13,0.843;0,0,1
54,0.833,0.037,0.019,0.093,0.019,0.0,0.148,0.63,0.345;0,0,1
31,0.806,0.065,0.0,0.129,0.0,0.0,0.194,0.589,0.411;0,0,1
46,0.065,0.022,0.087,0.804,0.022,0.0,0.913,0.011,0.966;1,0,0
30,0.733,0.0,0.0,0.133,0.1,0.033,0.133,0.697,0.168;0,0,1
31,0.516,0.0,0.129,0.194,0.161,0.0,0.323,0.144,0.596;0,0,1
50,0.42,0.02,0.1,0.28,0.16,0.02,0.4,0.169,0.598;0,0,1
75,0.24,0.053,0.0,0.693,0.0,0.013,0.747,0.053,0.931;1,0,0
33,0.788,0.0,0.061,0.061,0.091,0.0,0.121,0.638,0.253;0,0,1
31,0.774,0.0,0.0,0.226,0.0,0.0,0.226,0.471,0.529;1,0,0
59,0.085,0.0,0.678,0.237,0.0,0.0,0.915,0.031,0.969;1,0,0
29,0.828,0.0,0.0,0.034,0.103,0.034,0.034,0.782,0.072;0,0,1
38,0.895,0.0,0.0,0.079,0.026,0.0,0.079,0.859,0.114;0,1,0
56,0.696,0.071,0.036,0.036,0.161,0.0,0.143,0.545,0.264;0,0,1
58,0.259,0.017,0.0,0.086,0.121,0.517,0.103,0.257,0.105;0,0,1
33,0.485,0.0,0.091,0.333,0.03,0.061,0.424,0.149,0.717;0,0,1
19,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0;1,0,0
30,0.5,0.0,0.033,0.333,0.133,0.0,0.367,0.5,0.367;0,0,1
29,0.31,0.103,0.0,0.552,0.034,0.0,0.655,0.123,0.837;1,0,0
36,0.417,0.111,0.0,0.444,0.028,0.0,0.556,0.207,0.76;1,0,0
29,0.931,0.034,0.0,0.0,0.034,0.0,0.034,0.931,0.034;0,1,0
52,0.596,0.038,0.038,0.231,0.077,0.019,0.308,0.251,0.6;0,0,1
33,0.909,0.0,0.03,0.0,0.061,0.0,0.03,0.909,0.03;0,1,0
53,0.925,0.0,0.0,0.019,0.057,0.0,0.019,0.925,0.019;0,1,0
27,0.741,0.0,0.037,0.074,0.148,0.0,0.111,0.741,0.111;0,0,1
28,0.893,0.107,0.0,0.0,0.0,0.0,0.107,0.496,0.504;0,0,1
58,0.517,0.034,0.052,0.241,0.155,0.0,0.328,0.262,0.535;0,0,1
30,0.467,0.0,0.0,0.5,0.033,0.0,0.5,0.252,0.708;1,0,0
57,0.719,0.0,0.0,0.246,0.035,0.0,0.246,0.523,0.435;1,0,0
33,0.727,0.0,0.0,0.152,0.121,0.0,0.152,0.412,0.386;0,0,1
32,0.812,0.125,0.0,0.062,0.0,0.0,0.188,0.811,0.189;0,1,0
32,0.719,0.031,0.0,0.031,0.094,0.125,0.062,0.678,0.096;0,0,1
21,0.095,0.0,0.0,0.905,0.0,0.0,0.905,0.022,0.978;1,0,0
32,0.812,0.0,0.062,0.125,0.0,0.0,0.188,0.779,0.221;0,0,1
31,0.645,0.0,0.032,0.129,0.097,0.097,0.161,0.627,0.179;0,0,1
40,0.6,0.0,0.075,0.175,0.15,0.0,0.25,0.356,0.446;0,0,1
27,0.963,0.0,0.0,0.037,0.0,0.0,0.037,0.923,0.077;0,1,0
35,0.743,0.029,0.029,0.0,0.114,0.086,0.057,0.72,0.078;0,0,1
52,0.538,0.135,0.0,0.154,0.173,0.0,0.288,0.217,0.525;0,0,1
35,0.0,0.943,0.0,0.057,0.0,0.0,1.0,0.0,1.0;1,0,0
64,0.812,0.0,0.047,0.062,0.078,0.0,0.109,0.527,0.338;0,0,1
